title,kind,authors,day,time,session
Unsupervised Paraphasia Classiﬁcation in Aphasic Speech,SRW,"Sharan Pai, Nikhil Sachdeva, Prince Sachdeva and Rajiv Ratn Shah",2020/07/07,08:00–09:00,Session 7A Student Research Workshop
Reﬂection-based Word Attribute Transfer,SRW,"Yoichi Ishibashi, Katsuhito Sudoh, Koichiro Yoshino and Satoshi Nakamura",2020/07/07,08:00–09:00,Session 7A Student Research Workshop
To compress or not to compress? A Finite-State approach to Nen verbal morphology,SRW,"Saliha Muradoglu, Nicholas Evans and Hanna Suominen",2020/07/07,08:00–09:00,Session 7A Student Research Workshop
"Embeddings of Label Components for Sequence Labeling: A Case Study of Fine-grained Named Entity Recognition Takuma Kato, Kaori Abe, Hiroki Ouchi, Shumpei Miyawaki, Jun Suzuki and Ken-",SRW,taro Inui,2020/07/07,08:00–09:00,Session 7A Student Research Workshop
Demographics Should Not Be the Reason of Toxicity: Mitigating Discrimi- nation in Text Classiﬁcations with Instance Weighting,Long,"Guanhua Zhang, Bing Bai, Junqi Zhang, Kun Bai, Conghui Zhu and Tiejun Zhao",2020/07/07,09:00–10:00,Session 7B Interpretability and Analysis of Models for NLP-2
"Give Me Convenience and Give Her Death: Who Should Decide What Uses of NLP are Appropriate, and on What Basis?",Short,"kobi leins, Jey Han Lau and Timothy Baldwin",2020/07/07,09:00–10:00,Session 7B Interpretability and Analysis of Models for NLP-2
Is Your Classiﬁer Actually Biased? Measuring Fairness under Uncertainty with Bernstein Bounds,Short,Kawin Ethayarajh,2020/07/07,09:00–10:00,Session 7B Interpretability and Analysis of Models for NLP-2
"Towards Understanding Gender Bias in Relation Extraction Andrew Gaut, Tony Sun, Shirlyn Tang, Yuxin Huang, Jing Qian, Mai ElSherief, Jieyu Zhao, Diba Mirza, Elizabeth Belding, Kai-Wei Chang and William Yang",Long,Wang,2020/07/07,09:00–10:00,Session 7B Interpretability and Analysis of Models for NLP-2
An Analysis of the Utility of Explicit Negative Examples to Improve the Syntactic Abilities of Neural Language Models,Long,Hiroshi Noji and Hiroya Takamura,2020/07/07,09:00–10:00,Session 7B Interpretability and Analysis of Models for NLP-2
Analyzing analytical methods: The case of phonology in neural models of spoken language,Long,"Grzegorz Chrupała, Bertrand Higy and Afra Alishahi",2020/07/07,09:00–10:00,Session 7B Interpretability and Analysis of Models for NLP-2
"Make Up Your Mind! Adversarial Generation of Inconsistent Natural Lan- guage Explanations Oana-Maria Camburu, Brendan Shillingford, Pasquale Minervini, Thomas",Short,Lukasiewicz and Phil Blunsom,2020/07/07,09:00–10:00,Session 7B Interpretability and Analysis of Models for NLP-2
Perturbed Masking: Parameter-free Probing for Analyzing and Interpreting BERT,Long,"Zhiyong Wu, Yun Chen, Ben Kao and Qun Liu",2020/07/07,09:00–10:00,Session 7B Interpretability and Analysis of Models for NLP-2
Probing for Referential Information in Language Models,Long,"Ionut-Teodor Sorodoc, Kristina Gulordava and Gemma Boleda",2020/07/07,09:00–10:00,Session 7B Machine Learning for NLP-8
Quantifying Attention Flow in Transformers,Short,Samira Abnar and Willem Zuidema,2020/07/07,09:00–10:00,Session 7B Machine Learning for NLP-8
Towards Faithfully Interpretable NLP Systems: How Should We Deﬁne and Evaluate Faithfulness?,Short,Alon Jacovi and Yoav Goldberg,2020/07/07,09:00–10:00,Session 7B Machine Learning for NLP-8
"Towards Transparent and Explainable Attention Models Akash Kumar Mohankumar, Preksha Nema, Sharan Narasimhan, Mitesh M.",Long,"Khapra, Balaji Vasan Srinivasan and Balaraman Ravindran",2020/07/07,09:00–10:00,Session 7B Machine Learning for NLP-8
A Relational Memory-based Embedding Model for Triple Classiﬁcation and Search Personalization,Short,"Dai Quoc Nguyen, Tu Nguyen and Dinh Phung",2020/07/07,09:00–10:00,Session 7B Machine Learning for NLP-8
Do you have the right scissors? Tailoring Pre-trained Language Models via Monte-Carlo Methods,Short,"Ning Miao, Yuxuan Song, Hao Zhou and Lei Li",2020/07/07,09:00–10:00,Session 7B Machine Learning for NLP-8
Enhancing Pre-trained Chinese Character Representation with Word- aligned Attention,Short,"Yanzeng Li, Bowen Yu, Xue Mengge and Tingwen Liu",2020/07/07,09:00–10:00,Session 7B Machine Learning for NLP-8
Estimating the inﬂuence of auxiliary tasks for multi-task learning of se- quence tagging tasks,Long,Fynn Schröder and Chris Biemann,2020/07/07,09:00–10:00,Session 7B Machine Learning for NLP-8
Tchebycheff Procedure for Multi-task Text Classiﬁcation,Long,"Yuren Mao, Shuang Yun, Weiwei Liu and Bo Du",2020/07/07,09:00–10:00,Session 7B Machine Learning for NLP-8
A Graph-based Coarse-to-ﬁne Method for Unsupervised Bilingual Lexicon Induction,Long,"Shuo Ren, Shujie Liu, Ming Zhou and Shuai Ma",2020/07/07,09:00–10:00,Session 7B Machine Translation-10
A Reinforced Generation of Adversarial Examples for Neural Machine Translation,Long,"wei zou, Shujian Huang, Jun Xie, Xinyu Dai and Jiajun CHEN",2020/07/07,09:00–10:00,Session 7B Machine Translation-10
A Retrieve-and-Rewrite Initialization Method for Unsupervised Machine Translation,Short,"Shuo Ren, Yu Wu, Shujie Liu, Ming Zhou and Shuai Ma",2020/07/07,09:00–10:00,Session 7B Machine Translation-10
A Simple and Effective Uniﬁed Encoder for Document-Level Machine Translation,Short,"Shuming Ma, Dongdong Zhang and Ming Zhou",2020/07/07,09:00–10:00,Session 7B Machine Translation-10
"Does Multi-Encoder Help? A Case Study on Context-Aware Neural Ma- chine Translation Bei Li, Hui Liu, Ziyang Wang, Yufan Jiang, Tong Xiao, Jingbo Zhu, Tongran Liu",Short,and changliang li,2020/07/07,09:00–10:00,Session 7B Machine Translation-10
"Knowledge Distillation for Multilingual Unsupervised Neural Machine Translation Haipeng Sun, Rui Wang, Kehai Chen, Masao Utiyama, Eiichiro Sumita and Tiejun",Long,Zhao,2020/07/07,09:00–10:00,Session 7B Machine Translation-10
Learning to Recover from Multi-Modality Errors for Non-Autoregressive Neural Machine Translation,Long,"Qiu Ran, Yankai Lin, Peng Li and Jie Zhou",2020/07/07,09:00–10:00,Session 7B Machine Translation-10
Lexically Constrained Neural Machine Translation with Levenshtein Trans- former,Short,"Raymond Hendy Susanto, Shamil Chollampatt and Liling Tan",2020/07/07,09:00–10:00,Session 7B Machine Translation-10
Modeling Word Formation in English–German Neural Machine Translation,Short,Marion Weller-Di Marco and Alexander Fraser,2020/07/07,09:00–10:00,Session 7B Machine Translation-10
"Camouﬂaged Chinese Spam Content Detection with Semi-supervised Gen- erative Active Learning Zhuoren Jiang, Zhe Gao, Yu Duan, Yangyang Kang, Changlong Sun, Qiong Zhang",Short,and Xiaozhong Liu,2020/07/07,09:00–10:00,Session 7B NLP Applications-6
Distinguish Confusing Law Articles for Legal Judgment Prediction,Long,"Nuo Xu, Pinghui Wang, Long Chen, Li Pan, Xiaoyan Wang and Junzhou Zhao",2020/07/07,09:00–10:00,Session 7B NLP Applications-6
Empowering Active Learning to Jointly Optimize System and User Demands,Long,"Ji-Ung Lee, Christian M. Meyer and Iryna Gurevych",2020/07/07,09:00–10:00,Session 7B NLP Applications-6
Encoder-Decoder Models Can Beneﬁt from Pre-trained Masked Language Models in Grammatical Error Correction,Short,"Masahiro Kaneko, Masato Mita, Shun Kiyono, Jun Suzuki and Kentaro Inui",2020/07/07,09:00–10:00,Session 7B NLP Applications-6
"Graph Neural News Recommendation with Unsupervised Preference Disen- tanglement Linmei Hu, Siyong Xu, Chen Li, Cheng Yang, Chuan Shi, Nan Duan, Xing Xie and",Long,Ming Zhou,2020/07/07,09:00–10:00,Session 7B NLP Applications-6
HyperCore: Hyperbolic and Co-graph Representation for Automatic ICD Coding,Long,"Pengfei Cao, Yubo Chen, Kang Liu, Jun Zhao, Shengping Liu and Weifeng Chong",2020/07/07,09:00–10:00,Session 7B NLP Applications-6
Hyperbolic Capsule Networks for Multi-Label Classiﬁcation,Long,"Boli Chen, Xin Huang, Lin Xiao and Liping Jing",2020/07/07,09:00–10:00,Session 7B NLP Applications-6
Identifying Principals and Accessories in a Complex Case based on the Comprehension of Fact Description,Short,"Yakun Hu, Zhunchen Luo and Wenhan Chao",2020/07/07,09:00–10:00,Session 7B NLP Applications-6
Improving Segmentation for Technical Support Problems,Long,Kushal Chauhan and Abhirut Gupta,2020/07/07,09:00–10:00,Session 7B NLP Applications-6
"Joint Modelling of Emotion and Abusive Language Detection Santhosh Rajamanickam, Pushkar Mishra, Helen Yannakoudakis and Ekaterina",Long,Shutova,2020/07/07,09:00–10:00,Session 7B NLP Applications-6
"MOOCCube: A Large-scale Data Repository for NLP Applications in MOOCs Jifan Yu, Gan Luo, Tong Xiao, Qingyang Zhong, Yuquan Wang, wenzheng feng,",Short,"Junyi Luo, Chenyu Wang, Lei Hou, Juanzi Li, Zhiyuan Liu and Jie Tang",2020/07/07,09:00–10:00,Session 7B NLP Applications-6
Programming in Natural Language with fuSE: Synthesizing Methods from Spoken Utterances Using Deep Natural Language Understanding,Long,"Sebastian Weigelt, Vanessa Steurer, Tobias Hey and Walter F. Tichy",2020/07/07,,
Towards Interpretable Clinical Diagnosis with Bayesian Network Ensem- bles Stacked on Entity-Aware CNNs,Long,"Jun Chen, Xiaoya Dai, Quan Yuan, Chao Lu and Haifeng Huang",2020/07/07,,
"Toxicity Detection: Does Context Really Matter? John Pavlopoulos, Jeffrey Sorensen, Lucas Dixon, Nithum Thain and Ion Androut-",Long,sopoulos,2020/07/07,,
AMR Parsing with Latent Structural Information,Long,"Qiji Zhou, Yue Zhang, Donghong Ji and Hao Tang",2020/07/07,09:00–10:00,Session 7B Semantics: Sentence Level-3
"TaPas: Weakly Supervised Table Parsing via Pre-training Jonathan Herzig, Pawel Krzysztof Nowak, Thomas Müller, Francesco Piccinno and",Long,Julian Eisenschlos,2020/07/07,09:00–10:00,Session 7B Semantics: Sentence Level-3
Embarrassingly Simple Unsupervised Aspect Extraction,Short,Stéphan Tulkens and Andreas van Cranenburgh,2020/07/07,09:00–10:00,"Session 7B Sentiment Analysis, Stylistic Analysis, and Argument Mining-4"
Relation-Aware Collaborative Learning for Uniﬁed Aspect-Based Sentiment Analysis,Long,Zhuang Chen and Tieyun Qian,2020/07/07,09:00–10:00,"Session 7B Sentiment Analysis, Stylistic Analysis, and Argument Mining-4"
Syntax-Aware Opinion Role Labeling with Dependency Graph Convolu- tional Networks,Long,"Bo Zhang, Yue Zhang, Rui Wang, Zhenghua Li and Min Zhang",2020/07/07,09:00–10:00,"Session 7B Sentiment Analysis, Stylistic Analysis, and Argument Mining-4"
Target Inference in Argument Conclusion Generation,Long,"Milad Alshomary, Shahbaz Syed, Martin Potthast and Henning Wachsmuth",2020/07/07,09:00–10:00,"Session 7B Sentiment Analysis, Stylistic Analysis, and Argument Mining-4"
Transition-based Directed Graph Construction for Emotion-Cause Pair Ex- traction,Long,"Chuang Fan, Chaofa Yuan, Jiachen Du, Lin Gui, Min Yang and Ruifeng Xu",2020/07/07,09:00–10:00,"Session 7B Sentiment Analysis, Stylistic Analysis, and Argument Mining-4"
"CH-SIMS: A Chinese Multimodal Sentiment Analysis Dataset with Fine- grained Annotation of Modality Wenmeng Yu, Hua Xu, Fanyang Meng, Yilin Zhu, Yixiao Ma, Jiele Wu, Jiyun Zou",Long,and Kaicheng Yang,2020/07/07,09:00–10:00,Session 7B Speech and Multimodality-4
Curriculum Pre-training for End-to-End Speech Translation,Long,"Chengyi Wang, Yu Wu, Shujie Liu, Ming Zhou and Zhenglu Yang",2020/07/07,09:00–10:00,Session 7B Speech and Multimodality-4
Improving Disﬂuency Detection by Self-Training a Self-Attentive Model,Long,Paria Jamshid Lou and Mark Johnson,2020/07/07,09:00–10:00,Session 7B Speech and Multimodality-4
Multimodal Transformer for Multimodal Machine Translation,Short,Shaowei Yao and Xiaojun Wan,2020/07/07,09:00–10:00,Session 7B Speech and Multimodality-4
Reasoning with Multimodal Sarcastic Tweets via Modeling Cross-Modality Contrast and Semantic Association,Long,"Nan Xu, Zhixiong Zeng and Wenji Mao",2020/07/07,09:00–10:00,Session 7B Speech and Multimodality-4
"Sentiment and Emotion help Sarcasm? A Multi-task Learning Framework for Multi-Modal Sarcasm, Sentiment and Emotion Analysis",Long,"Dushyant Singh Chauhan, Dhanush S R, Asif Ekbal and Pushpak Bhattacharyya",2020/07/07,09:00–10:00,Session 7B Speech and Multimodality-4
Towards Emotion-aided Multi-modal Dialogue Act Classiﬁcation,Long,"Tulika Saha, Aditya Patra, Sriparna Saha and Pushpak Bhattacharyya",2020/07/07,09:00–10:00,Session 7B Speech and Multimodality-4
Building a Japanese Typo Dataset from Wikipedia’s Revision History,SRW,"Yu Tanaka, Yugo Murawaki, Daisuke Kawahara and Sadao Kurohashi",2020/07/07,09:00–10:00,Session 7B Student Research Workshop
How much complexity does an RNN architecture need to learn syntax- sensitive dependencies?,SRW,"Gantavya Bhatt, Hritik Bansal, Rishubh Singh and Sumeet Agarwal",2020/07/07,09:00–10:00,Session 7B Student Research Workshop
Unsupervised Multilingual Sentence Embeddings for Parallel Corpus Min- ing,SRW,"Ivana Kvapilíková, Mikel Artetxe, Gorka Labaka, Eneko Agirre and Ondˇrej Bojar",2020/07/07,09:00–10:00,Session 7B Student Research Workshop
"ConvLab-2: An Open-Source Toolkit for Building, Evaluating, and Diag- nosing Dialogue Systems Qi Zhu, Zheng Zhang, Yan Fang, Xiang Li, Ryuichi Takanobu, Jinchao Li, Baolin",Demo,"Peng, Jianfeng Gao, Xiaoyan Zhu and Minlie Huang",2020/07/07,12:00–12:45,"[Demo] EVIDENCEMINER: Textual Evidence Discovery for Life Sciences
Xuan Wang, Yingjun Guan, Weili Liu, Aabhas Chauhan, Enyi Jiang, Qi Li, David
Liem, Dibakar Sigdel, John Cauﬁeld, Peipei Ping and Jiawei Han"
"Analyzing Political Parody in Social Media Antonios Maronikolakis, Danae Sánchez Villegas, Daniel Preotiuc-Pietro and Niko-",Long,laos Aletras,2020/07/07,12:00–13:00,Session 8A Computational Social Science and Social Media-6
Improving Multimodal Named Entity Recognition via Entity Span Detection with Uniﬁed Multimodal Transformer,Long,"Jianfei Yu, Jing Jiang, Li Yang and Rui Xia",2020/07/07,12:00–13:00,Session 8A Computational Social Science and Social Media-6
Masking Actor Information Leads to Fairer Political Claims Detection,Short,Erenay Dayanik and Sebastian Padó,2020/07/07,12:00–13:00,Session 8A Computational Social Science and Social Media-6
Neural Temporal Opinion Modelling for Opinion Prediction on Twitter,Short,"Lixing Zhu, Yulan He and Deyu Zhou",2020/07/07,12:00–13:00,Session 8A Computational Social Science and Social Media-6
When do Word Embeddings Accurately Reﬂect Surveys on our Beliefs About People?,Long,Kenneth Joseph and Jonathan Morgan,2020/07/07,12:00–13:00,Session 8A Computational Social Science and Social Media-6
"“Who said it, and Why?” Provenance for Natural Language Claims",Long,"Yi Zhang, Zachary Ives and Dan Roth",2020/07/07,,
"It Takes Two to Lie: One to Lie, and One to Listen Denis Peskov, Benny Cheng, Ahmed Elgohary, Joe Barrow, Cristian Danescu-",Long,Niculescu-Mizil and Jordan Boyd-Graber,2020/07/07,,
Analyzing analytical methods: The case of phonology in neural models of spoken language,Long,"Grzegorz Chrupała, Bertrand Higy and Afra Alishahi",2020/07/07,12:00–13:00,Session 8A Interpretability and Analysis of Models for NLP-3
"Compositionality and Generalization In Emergent Languages Rahma Chaabouni, Eugene Kharitonov, Diane Bouchacourt, Emmanuel Dupoux",Long,and Marco Baroni,2020/07/07,12:00–13:00,Session 8A Interpretability and Analysis of Models for NLP-3
"ERASER: A Benchmark to Evaluate Rationalized NLP Models Jay DeYoung, Sarthak Jain, Nazneen Fatema Rajani, Eric Lehman, Caiming Xiong,",Long,Richard Socher and Byron C. Wallace,2020/07/07,12:00–13:00,Session 8A Interpretability and Analysis of Models for NLP-3
Learning to Faithfully Rationalize by Construction,Long,"Sarthak Jain, Sarah Wiegreffe, Yuval Pinter and Byron C. Wallace",2020/07/07,12:00–13:00,Session 8A Interpretability and Analysis of Models for NLP-3
"Make Up Your Mind! Adversarial Generation of Inconsistent Natural Lan- guage Explanations Oana-Maria Camburu, Brendan Shillingford, Pasquale Minervini, Thomas",Short,Lukasiewicz and Phil Blunsom,2020/07/07,12:00–13:00,Session 8A Interpretability and Analysis of Models for NLP-3
On the Robustness of Language Encoders against Grammatical Errors,Long,"Fan Yin, Quanyu Long, Tao Meng and Kai-Wei Chang",2020/07/07,12:00–13:00,Session 8A Interpretability and Analysis of Models for NLP-3
Probing for Referential Information in Language Models,Long,"Ionut-Teodor Sorodoc, Kristina Gulordava and Gemma Boleda",2020/07/07,12:00–13:00,Session 8A Interpretability and Analysis of Models for NLP-3
Roles and Utilization of Attention Heads in Transformer-based Neural Lan- guage Models,Long,Jae-young Jo and Sung-Hyon Myaeng,2020/07/07,12:00–13:00,Session 8A Interpretability and Analysis of Models for NLP-3
"Towards Transparent and Explainable Attention Models Akash Kumar Mohankumar, Preksha Nema, Sharan Narasimhan, Mitesh M.",Long,"Khapra, Balaji Vasan Srinivasan and Balaraman Ravindran",2020/07/07,12:00–13:00,Session 8A Interpretability and Analysis of Models for NLP-3
Understanding Attention for Text Classiﬁcation,Long,Xiaobing Sun and Wei Lu,2020/07/07,,
Dynamically Adjusting Transformer Batch Size by Monitoring Gradient Di- rection Change,Short,"Hongfei Xu, Josef van Genabith, Deyi Xiong and Qiuhui Liu",2020/07/07,12:00–13:00,Session 8A Question Answering-5
Geometry-aware domain adaptation for unsupervised alignment of word embeddings,Short,"Pratik Jawanpuria, Mayank Meghwanshi and Bamdev Mishra",2020/07/07,12:00–13:00,Session 8A Question Answering-5
Modeling Word Formation in English–German Neural Machine Translation,Short,Marion Weller-Di Marco and Alexander Fraser,2020/07/07,12:00–13:00,Session 8A Question Answering-5
"On Exposure Bias, Hallucination and Domain Shift in Neural Machine Translation",Short,Chaojun Wang and Rico Sennrich,2020/07/07,12:00–13:00,Session 8A Question Answering-5
Successfully Applying the Stabilized Lottery Ticket Hypothesis to the Trans- former Architecture,Short,"Christopher Brix, Parnia Bahar and Hermann Ney",2020/07/07,12:00–13:00,Session 8A Question Answering-5
A Self-Training Method for Machine Reading Comprehension with Soft Ev- idence Extraction,Long,"Yilin Niu, Fangkai Jiao, Mantong Zhou, Ting Yao, jingfang xu and Minlie Huang",2020/07/07,12:00–13:00,Session 8A Question Answering-5
"Break It Down: A Question Understanding Benchmark Tomer Wolfson, Mor Geva, Ankit Gupta, Yoav Goldberg, Matt Gardner, Daniel",TACL,"Deutch, Jonathan Berant",2020/07/07,12:00–13:00,Session 8A Question Answering-5
Clinical Reading Comprehension: A Thorough Analysis of the emrQA Dataset,Long,"Xiang Yue, Bernal Jimenez Gutierrez and Huan Sun",2020/07/07,12:00–13:00,Session 8A Question Answering-5
"DeFormer: Decomposing Pre-trained Transformers for Faster Question An- swering Qingqing Cao, Harsh Trivedi, Aruna Balasubramanian and Niranjan Balasubrama-",Long,nian,2020/07/07,12:00–13:00,Session 8A Question Answering-5
"Graph-to-Tree Learning for Solving Math Word Problems Jipeng Zhang, Lei Wang, Roy Ka-Wei Lee, Yi Bin, Yan Wang, Jie Shao and Ee-",Long,Peng Lim,2020/07/07,12:00–13:00,Session 8A Resources and Evaluation-7
Improving Multi-hop Question Answering over Knowledge Graphs using Knowledge Base Embeddings,Long,"Apoorv Saxena, Aditay Tripathi and Partha Talukdar",2020/07/07,12:00–13:00,Session 8A Resources and Evaluation-7
Template-Based Question Generation from Retrieved Sentences for Im- proved Unsupervised Question Answering,Short,"Alexander Fabbri, Patrick Ng, Zhiguo Wang, Ramesh Nallapati and Bing Xiang",2020/07/07,12:00–13:00,Session 8A Resources and Evaluation-7
Unsupervised Alignment-based Iterative Evidence Retrieval for Multi-hop Question Answering,Long,"Vikas Yadav, Steven Bethard and Mihai Surdeanu",2020/07/07,12:00–13:00,Session 8A Resources and Evaluation-7
"A Corpus for Large-Scale Phonetic Typology Elizabeth Salesky, Eleanor Chodroff, Tiago Pimentel, Matthew Wiesner, Ryan Cot-",Long,"terell, Alan W Black and Jason Eisner",2020/07/07,12:00–13:00,Session 8A Resources and Evaluation-7
Dscorer: A Fast Evaluation Metric for Discourse Representation Structure Parsing,Short,"Jiangming Liu, Shay B. Cohen and Mirella Lapata",2020/07/07,12:00–13:00,Session 8A Resources and Evaluation-7
"MATINF: A Jointly Labeled Large-Scale Dataset for Classiﬁcation, Ques- tion Answering and Summarization",Long,"Canwen Xu, Jiaxin Pei, Hongtao Wu, Yiyu Liu and Chenliang Li",2020/07/07,12:00–13:00,Session 8A Resources and Evaluation-7
"MIND: A Large-scale Dataset for News Recommendation Fangzhao Wu, Ying Qiao, Jiun-Hung Chen, Chuhan Wu, Tao Qi, Jianxun Lian,",Long,"Danyang Liu, Xing Xie, Jianfeng Gao, Winnie Wu and Ming Zhou",2020/07/07,12:00–13:00,Session 8A Resources and Evaluation-7
"ParaCrawl: Web-Scale Acquisition of Parallel Corpora Marta Bañón, Pinzhen Chen, Barry Haddow, Kenneth Heaﬁeld, Hieu Hoang, Miquel Esplà-Gomis, Mikel L. Forcada, Amir Kamran, Faheem Kirefu, Philipp Koehn, Sergio Ortiz Rojas, Leopoldo Pla Sempere, Gema Ramírez-Sánchez, Elsa Sarrías, Marek Strelec, Brian Thompson, William Waites, Dion Wiggins and Jaume",Long,Zaragoza,2020/07/07,12:00–13:00,Session 8A Resources and Evaluation-7
Adaptive Compression of Word Embeddings,Long,"Yeachan Kim, Kang-Min Kim and SangKeun Lee",2020/07/07,12:00–13:00,Session 8A Semantics: Lexical-6
Analysing Lexical Semantic Change with Contextualised Word Representa- tions,Long,"Mario Giulianelli, Marco Del Tredici and Raquel Fernández",2020/07/07,12:00–13:00,Session 8A Semantics: Lexical-6
"Autoencoding Keyword Correlation Graph for Document Clustering Billy Chiu, Sunil Kumar Sahu, Derek Thomas, Neha Sengupta and Mohammady",Short,Mahdy,2020/07/07,12:00–13:00,Session 8A Semantics: Lexical-6
Autoencoding Pixies: Amortised Variational Inference with Graph Convo- lutions for Functional Distributional Semantics,Long,Guy Emerson,2020/07/07,12:00–13:00,Session 8A Semantics: Lexical-6
BERTRAM: Improved Word Embeddings Have Big Impact on Contextual- ized Model Performance,Long,Timo Schick and Hinrich Schütze,2020/07/07,12:00–13:00,Session 8A Semantics: Lexical-6
CluBERT: A Cluster-Based Approach for Learning Sense Distributions in Multiple Languages,Long,"Tommaso Pasini, Federico Scozzafava and Bianca Scarlini",2020/07/07,12:00–13:00,Session 8A Semantics: Lexical-6
Hypernymy Detection for Low-Resource Languages via Meta Learning,Short,"Changlong Yu, Jialong Han, Haisong Zhang and Wilfred Ng",2020/07/07,12:00–13:00,Session 8A Semantics: Lexical-6
Investigating Word-Class Distributions in Word Vector Spaces,Long,Ryohei Sasano and Anna Korhonen,2020/07/07,12:00–13:00,Session 8A Semantics: Lexical-6
AMR Parsing with Latent Structural Information,Long,"Qiji Zhou, Yue Zhang, Donghong Ji and Hao Tang",2020/07/07,12:00–13:00,Session 8A Semantics: Sentence Level-4
"TaPas: Weakly Supervised Table Parsing via Pre-training Jonathan Herzig, Pawel Krzysztof Nowak, Thomas Müller, Francesco Piccinno and",Long,Julian Eisenschlos,2020/07/07,12:00–13:00,Session 8A Semantics: Sentence Level-4
Adversarial and Domain-Aware BERT for Cross-Domain Sentiment Analy- sis,Long,"Chunning Du, Haifeng Sun, Jingyu Wang, Qi Qi and Jianxin Liao",2020/07/07,12:00–13:00,"Session 8A Sentiment Analysis, Stylistic Analysis, and Argument Mining-5"
Don’t Eclipse Your Arts Due to Small Discrepancies: Boundary Reposition- ing with a Pointer Network for Aspect Extraction,Short,"Zhenkai Wei, Yu Hong, Bowei Zou, Meng Cheng and Jianmin YAO",2020/07/07,12:00–13:00,"Session 8A Sentiment Analysis, Stylistic Analysis, and Argument Mining-5"
Relational Graph Attention Network for Aspect-based Sentiment Analysis,Long,"Kai Wang, Weizhou Shen, Yunyi Yang, Xiaojun Quan and Rui Wang",2020/07/07,12:00–13:00,"Session 8A Sentiment Analysis, Stylistic Analysis, and Argument Mining-5"
SentiBERT: A Transferable Transformer-Based Architecture for Composi- tional Sentiment Semantics,Long,"Da Yin, Tao Meng and Kai-Wei Chang",2020/07/07,12:00–13:00,"Session 8A Sentiment Analysis, Stylistic Analysis, and Argument Mining-5"
Target Inference in Argument Conclusion Generation,Long,"Milad Alshomary, Shahbaz Syed, Martin Potthast and Henning Wachsmuth",2020/07/07,12:00–13:00,"Session 8A Sentiment Analysis, Stylistic Analysis, and Argument Mining-5"
A Span-based Linearization for Constituent Trees,Long,"Yang Wei, Yuanbin Wu and Man Lan",2020/07/07,12:00–13:00,"Session 8A Syntax: Tagging, Chunking and Parsing-3"
Abstract Syntax as Interlingua: Scaling Up the Grammatical Framework from Controlled Languages to Robust Pipelines,CL,"Aarne Ranta, Krasimir Angelov, Normunds Gruzitis, Prasanth Kolachina",2020/07/07,12:00–13:00,"Session 8A Syntax: Tagging, Chunking and Parsing-3"
Do Neural Language Models Show Preferences for Syntactic Formalisms?,Long,"Artur Kulmizev, Vinit Ravishankar, Mostafa Abdou and Joakim Nivre",2020/07/07,12:00–13:00,"Session 8A Syntax: Tagging, Chunking and Parsing-3"
Enriched In-Order Linearization for Faster Sequence-to-Sequence Con- stituent Parsing,Short,Daniel Fernández-González and Carlos Gómez-Rodríguez,2020/07/07,12:00–13:00,"Session 8A Syntax: Tagging, Chunking and Parsing-3"
"Exact yet Efﬁcient Graph Parsing, Bi-directional Locality and the Construc- tivist Hypothesis",Long,Yajie Ye and Weiwei Sun,2020/07/07,12:00–13:00,"Session 8A Syntax: Tagging, Chunking and Parsing-3"
Max-Margin Incremental CCG Parsing,Long,Miloš Stanojevi´c and Mark Steedman,2020/07/07,12:00–13:00,"Session 8A Syntax: Tagging, Chunking and Parsing-3"
Neural Reranking for Dependency Parsing: An Evaluation,Long,Bich-Ngoc Do and Ines Rehbein,2020/07/07,12:00–13:00,"Session 8A Syntax: Tagging, Chunking and Parsing-3"
How much complexity does an RNN architecture need to learn syntax- sensitive dependencies?,SRW,"Gantavya Bhatt, Hritik Bansal, Rishubh Singh and Sumeet Agarwal",2020/07/07,12:00–13:00,Session 8A Student Research Workshop
Logical Inferences with Comparatives and Generalized Quantiﬁers,SRW,"Izumi Haruta, Koji Mineshima and Daisuke Bekki",2020/07/07,12:00–13:00,Session 8A Student Research Workshop
Unsupervised Multilingual Sentence Embeddings for Parallel Corpus Min- ing,SRW,"Ivana Kvapilíková, Mikel Artetxe, Gorka Labaka, Eneko Agirre and Ondˇrej Bojar",2020/07/07,12:00–13:00,Session 8A Student Research Workshop
Enhancing Word Embeddings with Knowledge Extracted from Lexical Re- sources,SRW,"Magdalena Biesialska, Bardia Raﬁeian and Marta R. Costa-jussà",2020/07/07,12:00–13:00,Session 8A Student Research Workshop
Label Noise in Context,Demo,"Michael Desmond, Catherine Finegan-Dollak, Jeff Boston and Matt Arnold",2020/07/07,12:45–13:30,"[Demo] CLIReval: Evaluating Machine Translation as a Cross-Lingual Informa-
tion Retrieval Task
Shuo Sun, Suzanna Sia and Kevin Duh"
Demographics Should Not Be the Reason of Toxicity: Mitigating Discrimi- nation in Text Classiﬁcations with Instance Weighting,Long,"Guanhua Zhang, Bing Bai, Junqi Zhang, Kun Bai, Conghui Zhu and Tiejun Zhao",2020/07/07,13:00–14:00,Session 8B Ethics and NLP-3
It’s Morphin’ Time! Combating Linguistic Discrimination with Inﬂectional Perturbations,Long,"Samson Tan, Shaﬁq Joty, Min-Yen Kan and Richard Socher",2020/07/07,13:00–14:00,Session 8B Ethics and NLP-3
Toward Gender-Inclusive Coreference Resolution,Long,Yang Trista Cao and Hal Daumé III,2020/07/07,13:00–14:00,Session 8B Ethics and NLP-3
