title,kind,authors,day,time,session
Effectively Aligning and Filtering Parallel Corpora under Sparse Data Con- ditions,SRW,"Steinþór Steingrímsson, Hrafn Loftsson and Andy Way",2020/07/06,18:00–19:00,Session 4B Student Research Workshop
"Understanding Points of Correspondence between Sentences for Abstractive Summarization Logan Lebanoff, John Muchovej, Franck Dernoncourt, Doo Soon Kim, Lidan",SRW,"Wang, Walter Chang and Fei Liu",2020/07/06,18:00–19:00,Session 4B Student Research Workshop
Noise-Based Augmentation Techniques for Emotion Datasets: What do we Recommend?,SRW,Mimansa Jaiswal and Emily Mower Provost,2020/07/06,18:00–19:00,Session 4B Student Research Workshop
"jiant: A Software Toolkit for Research on General-Purpose Text Under- standing Models Yada Pruksachatkun, Phil Yeres, Haokun Liu, Jason Phang, Phu Mon Htut, Alex",Demo,"Wang, Ian Tenney and Samuel R. Bowman",2020/07/06,18:30–19:15,"[Demo] Xiaomingbot: A Multilingual Robot News Reporter
Runxin Xu, Jun Cao, Mingxuan Wang, Jiaze Chen, Hao Zhou, Ying Zeng, Yuping
Wang, Li Chen, Xiang Yin, Xijin Zhang, Songcheng Jiang, Yuxuan Wang and Lei
Li"
"The Microsoft Toolkit of Multi-Task Deep Neural Networks for Natural Lan- guage Understanding Xiaodong Liu, Yu Wang, Jianshu Ji, Hao Cheng, Xueyun Zhu, Emmanuel Awa,",Demo,"Pengcheng He, Weizhu Chen, Hoifung Poon, Guihong Cao and Jianfeng Gao",2020/07/06,18:30–19:15,"[Demo] Xiaomingbot: A Multilingual Robot News Reporter
Runxin Xu, Jun Cao, Mingxuan Wang, Jiaze Chen, Hao Zhou, Ying Zeng, Yuping
Wang, Li Chen, Xiang Yin, Xijin Zhang, Songcheng Jiang, Yuxuan Wang and Lei
Li"
Trialstreamer: Mapping and Browsing Medical Evidence in Real-Time,Demo,"Benjamin Nye, Ani Nenkova, Iain Marshall and Byron C. Wallace",2020/07/06,20:00–20:45,"[Demo] GAIA: A Fine-grained Multimedia Knowledge Extraction System
Manling Li, Alireza Zareian, Ying Lin, Xiaoman Pan, Spencer Whitehead, Brian
Chen, Bo Wu, Heng Ji, Shih-Fu Chang, Clare Voss, Daniel Napierski and Marjorie
Freedman"
pyBART: Evidence-based Syntactic Transformations for IE,Demo,"Aryeh Tiktinsky, Yoav Goldberg and Reut Tsarfaty",2020/07/06,20:00–20:45,"[Demo] GAIA: A Fine-grained Multimedia Knowledge Extraction System
Manling Li, Alireza Zareian, Ying Lin, Xiaoman Pan, Spencer Whitehead, Brian
Chen, Bo Wu, Heng Ji, Shih-Fu Chang, Clare Voss, Daniel Napierski and Marjorie
Freedman"
Grounded Conversation Generation as Guided Traverses in Commonsense Knowledge Graphs,Long,"Houyu Zhang, Zhenghao Liu, Chenyan Xiong and Zhiyuan Liu",2020/07/06,20:00–21:00,Session 5A Dialogue and Interactive Systems-9
"Learning an Unreferenced Metric for Online Dialogue Evaluation Koustuv Sinha, Prasanna Parthasarathi, Jasmine Wang, Ryan Lowe, William L.",Short,Hamilton and Joelle Pineau,2020/07/06,20:00–21:00,Session 5A Dialogue and Interactive Systems-9
Negative Training for Neural Dialogue Response Generation,Long,Tianxing He and James Glass,2020/07/06,20:00–21:00,Session 5A Dialogue and Interactive Systems-9
Recursive Template-based Frame Generation for Task Oriented Dialog,Short,Rashmi Gangadharaiah and Balakrishnan Narayanaswamy,2020/07/06,20:00–21:00,Session 5A Dialogue and Interactive Systems-9
Speak to your Parser: Interactive Text-to-SQL with Natural Language Feed- back,Long,"Ahmed Elgohary, saghar Hosseini and Ahmed Hassan Awadallah",2020/07/06,,
Automatic Detection of Generated Text is Easiest when Humans are Fooled,Long,"Daphne Ippolito, Daniel Duckworth, Chris Callison-Burch and Douglas Eck",2020/07/06,20:00–21:00,Session 5A Generation-8
Automatic Poetry Generation from Prosaic Text,Long,Tim Van de Cruys,2020/07/06,20:00–21:00,Session 5A Generation-8
Bridging the Structural Gap Between Encoding and Decoding for Data-To- Text Generation,Long,"Chao Zhao, Marilyn Walker and Snigdha Chaturvedi",2020/07/06,20:00–21:00,Session 5A Generation-8
Cross-modal Language Generation using Pivot Stabilization for Web-scale Language Coverage,Long,Ashish V. Thapliyal and Radu Soricut,2020/07/06,20:00–21:00,Session 5A Generation-8
Enabling Language Models to Fill in the Blanks,Short,"Chris Donahue, Mina Lee and Percy Liang",2020/07/06,20:00–21:00,Session 5A Generation-8
Few-Shot NLG with Pre-Trained Language Model,Short,"Zhiyu Chen, Harini Eavani, Wenhu Chen, Yinyin Liu and William Yang Wang",2020/07/06,20:00–21:00,Session 5A Generation-8
INSET: Sentence Inﬁlling with INter-SEntential Transformer,Long,"Yichen Huang, Yizhe Zhang, Oussama Elachqar and Yu Cheng",2020/07/06,20:00–21:00,Session 5A Generation-8
Improved Natural Language Generation via Loss Truncation,Long,Daniel Kang and Tatsunori Hashimoto,2020/07/06,20:00–21:00,Session 5A Generation-8
"Improving Adversarial Text Generation by Modeling the Distant Future Ruiyi Zhang, Changyou Chen, Zhe Gan, Wenlin Wang, Dinghan Shen, Guoyin",Long,"Wang, Zheng Wen and Lawrence Carin",2020/07/06,20:00–21:00,Session 5A Generation-8
"Learning to Update Natural Language Comments Based on Code Changes Sheena Panthaplackel, Pengyu Nie, Milos Gligoric, Junyi Jessy Li and Raymond",Long,Mooney,2020/07/06,20:00–21:00,Session 5A Generation-8
"Politeness Transfer: A Tag and Generate Approach Aman Madaan, Amrith Setlur, Tanmay Parekh, Barnabas Poczos, Graham Neubig,",Long,"Yiming Yang, Ruslan Salakhutdinov, Alan W Black and Shrimai Prabhumoye",2020/07/06,,
"Reverse Engineering Conﬁgurations of Neural Text Generation Models Yi Tay, Dara Bahri, Che Zheng, Clifford Brunk, Donald Metzler and Andrew",Short,Tomkins,2020/07/06,,
Simple and Effective Retrieve-Edit-Rerank Text Generation,Short,"Nabil Hossain, Marjan Ghazvininejad and Luke Zettlemoyer",2020/07/06,,
Contextualized Weak Supervision for Text Classiﬁcation,Long,Dheeraj Mekala and Jingbo Shang,2020/07/06,20:00–21:00,Session 5A Information Retrieval and Text Mining-5
Calibrating Structured Output Predictors for Natural Language Processing,Long,Abhyuday Jagannatha and hong yu,2020/07/06,20:00–21:00,Session 5A Machine Learning for NLP-3
Active Imitation Learning with Noisy Guidance,Long,"Kianté Brantley, Hal Daumé III and Amr Sharaf",2020/07/06,20:00–21:00,Session 5A Machine Learning for NLP-3
ExpBERT: Representation Engineering with Natural Language Explana- tions,Short,"Shikhar Murty, Pang Wei Koh and Percy Liang",2020/07/06,20:00–21:00,Session 5A Machine Learning for NLP-3
GAN-BERT: Generative Adversarial Learning for Robust Text Classiﬁca- tion with a Bunch of Labeled Examples,Short,"Danilo Croce, Giuseppe Castellucci and Roberto Basili",2020/07/06,20:00–21:00,Session 5A Machine Learning for NLP-3
Generalizing Natural Language Analysis through Span-relation Represen- tations,Long,"Zhengbao Jiang, Wei Xu, Jun Araki and Graham Neubig",2020/07/06,20:00–21:00,Session 5A Machine Learning for NLP-3
Learning to Contextually Aggregate Multi-Source Supervision for Sequence Labeling,Long,"Ouyu Lan, Xiao Huang, Bill Yuchen Lin, He Jiang, Liyuan Liu and Xiang Ren",2020/07/06,20:00–21:00,Session 5A Machine Learning for NLP-3
MixText: Linguistically-Informed Interpolation of Hidden Space for Semi- Supervised Text Classiﬁcation,Long,"Jiaao Chen, Zichao Yang and Diyi Yang",2020/07/06,,
"MobileBERT: a Compact Task-Agnostic BERT for Resource-Limited De- vices Zhiqing Sun, Hongkun Yu, Xiaodan Song, Renjie Liu, Yiming Yang and Denny",Long,Zhou,2020/07/06,,
